b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',"b'All packages must have a destination, the following packages do not have it {0} '",b''
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',"b'All packages should have End Events before saving, packages missing {0}'",b''
b'DocType: Package',b'Amended From',b'Modificado Desde'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'Autofill Stops',b'Rellenar Paradas'
b'DocType: Package',b'Barcode',b'Barcode'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'Create Events',b'Create Events'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'Created {0} packages',b'Created {0} packages'
b'DocType: Package',b'Customer',b'Cliente'
b'DocType: Package Event',b'Date of Transaction',b'Fecha de la Transacci\xc3\xb3n'
b'DocType: Package Management Settings',b'Default Origin',b'Origen Predeterminado'
b'DocType: Package',b'Delivery Date',b'Fecha de entrega'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'Delivery date must be later than received date',b'Fecha de entrega debe ser mayor/despu\xc3\xa9s de la fecha de Recepci\xc3\xb3n'
b'DocType: Package Event',b'Description',b'Descripci\xc3\xb3n'
b'DocType: Package',b'Destination',b'Destination'
b'DocType: Transportation Trip',b'Driver',b'Conductor'
b'DocType: Transportation Trip',b'Driver Helpers',b'Ayudantes del Conductor'
b'DocType: Transportation Trip',b'Driver Name',b'Nombre del Conductor'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'Duplicate packages {0}',b'Duplicate packages {0}'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'End Destination',b'End Destination'
b'DocType: Transportation Trip Package',b'End Event',b'End Event'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'Event',b'Evento'
b'DocType: Package',b'Events',b'Events'
b'DocType: Package',b'General Information',b'General Information'
b'DocType: Package',b'Guide Number',b'Guide Number'
b'apps/package_management/package_management/public/js/package_entry.js',b'Guide {0} is already in the list',b'Guide {0} is already in the list'
b'DocType: Transportation Trip Helper',b'Helper',b'Ayudante'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'Missing Stops',b'Paradas Faltantes'
b'DocType: Transportation Trip Helper',b'Name',b'Nombre'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'No package found with guide {0} in this trip',b''
b'apps/package_management/package_management/package_management/doctype/package/package.py',"b'No packages values provided, try again'","b'No packages values provided, try again'"
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'Not Used Stops',b'Paradas no usadas.'
b'DocType: Package',b'Origin',b'Origen'
b'DocType: Package',b'Package',b'Paquete'
b'DocType: Package',b'Package Driver',b'Paquete Conductor'
b'DocType: Package',b'Package Event',b'Paquete Evento'
b'DocType: Package',b'Package Management',b'Paquete Manejo'
b'DocType: Package Management Settings',b'Package Management Settings',b'Paquete Manejo Opciones'
b'DocType: Package',b'Package Manager',b'Paquete Manager'
b'apps/package_management/package_management/config/package_management.py',b'Package Movement Settings',b'Paquete Manejo Opciones'
b'DocType: Package',b'Package User',b'Paquete Usuario'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'Package with guide {0} is already in the list',b'Paquete con gu\xc3\xada {0} ya est\xc3\xa1 en la lista'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',"b'Package {0} is a duplicate, removing'","b'Paquete {0} es duplicado, removiendo'"
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'Package {0} is already in this Trip',b'Paquete {0} ya est\xc3\xa1 en este Viaje.'
b'DocType: Transportation Trip',b'Packages',b'Paquetes'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',"b'Packages end events should only be set if the Transportation Trip is completed, press yes to delete the package events, or no to set the current trip as completed'","b'Pauqetes evento final solo deben ser colocados si el Viaje de Transporte est\xc3\xa1 en estado completado, presiona S\xc3\xad para eliminar los eventos finales, o no para colocar este Viaje de Transporte en estado completado.'"
b'apps/package_management/package_management/config/package_management.py',b'Packages that are sent and managed',b'Paquetes enviados y manejados'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'Packages {0} are not available to be in Transportation Trip',b'Paquetes {0} no est\xc3\xa1n en estado disponible para estar en Viaje de Transporte'
b'apps/package_management/package_management/public/js/package_entry.js',b'Quick Entry',b'Entrada R\xc3\xa1pida'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'RC',b'RC'
b'DocType: Package',b'Received Date',b'Fecha de recepci\xc3\xb3n'
b'DocType: Package Event',b'Retrun Code',b'Retrun Code'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.js',b'Set Event',b'Set Event'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'Set delivery date before submitting the document.',b'Coloca fecha de entrega antes de confirmar el documento.'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'Set package as delivered or returned before submitting the document.',b'Coloca el paquete como entregado o devuelto antes the confirmar el documento.'
b'apps/package_management/package_management/config/package_management.py',b'Settings for the Package Module',b'Opciones para el M\xc3\xb3dulo de Paquetes.'
b'DocType: Package',b'State',b'Estado'
b'DocType: Transportation Trip Stop',b'Stop',b'Detener'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'Stop {0} is already in this Trip',b'Parada {0} ya est\xc3\xa1 en este viaje de Transporte.'
b'DocType: Transportation Trip',b'Stops',b'Paradas'
b'DocType: Package',b'System Manager',b'Administrador del sistema'
b'apps/package_management/package_management/config/package_management.py',b'The Trip each Vehicle of the Fleet does',b'The Trip each Vehicle of the Fleet does'
b'apps/package_management/package_management/package_management/doctype/package/package.py',b'The guide number {0} already exists on the system in the package {1}',b'El n\xc3\xbamero de guia {0} ya existe en el sistema en el paqute {1}'
b'apps/package_management/package_management/config/package_management.py',b'The routes the Transportation Trips use',b'Las rutas que Viaje de Transportes usa'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',b'There are empty package lines delete please',b'There are empty package lines delete please'
b'apps/package_management/package_management/package_management/doctype/transportation_trip/transportation_trip.py',"b'There are package events that are associated with this Transportation Trip that will change the packages from Delivered, Returned etc, back to origin \\nPackages:\\n{0}'","b'Hay eventos de paquetes asociados a este Viaje de Transporte que cambiar\xc3\xa1n el estado de estos paquetes desde Entregados, Devueltos, etc a el estado de origen \\nPackages:\\n{0}'"
